Entity,Entity Type,Count,Example Sentence,First Level,Second Level,Third Level,Mapped Entity,Similarity
same,descriptor,184,subacute infarction within the right side of the pons appears the same .,change,stable,stable,stable,0.7492707712075152
solid,descriptor,37,there is a somewhat solid and portion which measures 1 . 96 centimeters .,composition,solid,soft_tissue,soft_tissue,0.7491685671917687
as expected,descriptor,18,some interval encephalomalacia as expected .,normalcy,normal,normal,normal,0.7490505973804781
little changed,descriptor,37,"minimal subarachnoid blood posterior right parietal region , little changed .",change,stable,stable,stable,0.7490071253100248
quite similar,descriptor,20,"overall , the size of the hematoma is quite similar at about 5 cm in diameter .",change,stable,stable,stable,0.7477339031458201
positional,descriptor,16,loss of normal cervical lordosis is likely positional or secondary to muscle spasm .,position,normal_position,normal_position,normal position,0.7477181566639642
relative sparing,descriptor,10,prominence of the lateral ventricles with relative sparing of the temporal horns suggests asymmetric central atrophy .,margin,well_defined,well_defined,well delimited,0.7475874303836989
small amount,descriptor,2020,there is a small amount of left mastoid fluid .,quantity,qualitative,small,small,0.7461876397424771
slightly diminished,descriptor,14,small focus of hemorrhage seen previously in the mid pons is stable to slightly diminished .,change,decrease,decrease,decrease,0.744761255397495
without significant change,descriptor,263,blood products extend posteriorly to the level of the tentorium without significant change .,change,stable,stable,stable,0.7446986432541236
shape,descriptor,269,"the ventricles are normal in size , shape , and midline in position .",shape,regular,spherical,round,0.7435028153659731
otherwise unremarkable,descriptor,13,otherwise unremarkable appearance of brain parenchyma .,normalcy,normal,normal,normal,0.7433404777328035
more,descriptor,33,"intraventricular blood is modestly increased , with more blood layering in the occipital horns .",change,increase,increase,larger,0.7431950757527889
enhancement,descriptor,186,postcontrast images reveal normal enhancement .,enhancement,absent,absent,no enhancement,0.7431806925159254
poorly defined,descriptor,34,"small , poorly defined area patchy density in the left frontal white matter .",margin,poorly_defined,poorly_defined,poorly_defined,0.7430791224280668
normally developed,descriptor,13,visualized paranasal sinuses and mastoid air cells are normally developed .,normalcy,normal,normal,normal,0.7430054112349251
well-aerated,descriptor,4086,the paranasal sinuses and mastoid air cells are well-aerated .,occupancy,empty,empty,empty,0.7425994570965573
not excluded,descriptor,106,acute or subacute infarction not excluded .,certainty,definitely_absent,definitely_absent,without,0.7424431753659959
low-density,descriptor,1545,similar 3 . 6 x 2 . 7 cm left thalamus dense hematoma with surrounding low-density vasogenic edema .,density,hypodense,hypodense,hypodense,0.7424411161031227
csf density,descriptor,104,"ovoid csf density structure along the high posterior left frontal lobe , measuring 4 . 1 x 2 . 6 cm in transaxial dimensions , unchanged in size as compared to the prior mri of 9 / 11 / 1990 and compatible with an arachnoid cyst .",composition,fluid,csf,csf,0.7421986824196831
grossly unchanged,descriptor,223,brain : large area of encephalomalacia again noted in the frontal lobes bilaterally as well as the left anterior temporal lobe and posterior parietal lobe appear grossly unchanged .,change,stable,stable,stable,0.7418791019647059
occasional,descriptor,76,occasional dural thickening may reflect calcifications .,severity,mild,mild,mild,0.7414042347474099
focus,descriptor,657,brain : small focus of hemorrhage in right frontal periventricular white matter is stable .,distribution,localized,localized,focal,0.7413274458360443
no significant change,descriptor,18,brain : multiple scattered shear-type subcortical and anterior corpus callosum hemorrhages show no significant change in size .,change,stable,stable,stable,0.7411260717591326
expansion,descriptor,94,"empty sella with expansion , incidental .",size,qualitative,large,large,0.7407676802973087
slightly higher attenuation,descriptor,10,"linear foci of slightly higher attenuation are seen adjacent to the infarct in left posterior parietal cortex , suspect increased conspicuity of gray matter due to slightly increased edema and decreased attenuation within infarct .",density,hyperdense,hyperdense,hyperdense,0.7406874306588758
normal in size appearance for age,descriptor,62,ventricular system normal in size appearance for age .,size,qualitative,medium,medium,0.7406202748119717
changes,descriptor,84,a broad segment of probable postoperative dural thickening along the left anterior and lateral convexity is seen underlying the left frontotemporal craniotomy changes .,change,appearance,appearance,appearance,0.7405457507057441
mildly displaced,descriptor,47,there are also bilateral nasal bone fractures mildly displaced on the left and more significantly displaced on the right .,position,abnormal_position,abnormal_position,abnormal_position,0.7403288217022167
good,descriptor,27,good preservation of gray-white differentiation .,integrity,intact,intact,intact,0.7397630281104671
chronic-appearing,descriptor,46,slight to moderate age related cerebral atrophy ( primarily anterior temporal lobes along the sylvian fissures ) with moderate chronic-appearing microvascular subcortical ischemic changes seen with tiny 2 and 3 mm old appearing right basal ganglial lacunar infarcts .,temporality,chronic,chronic,chronic,0.7396034360400732
maintained,descriptor,1029,gray-white matter differentiation maintained .,change,stable,stable,stable,0.7391885572887622
increased density,descriptor,348,mild generalized increased density of intravascular structures which is unchanged from prior .,density,hyperdense,hyperdense,hyperdense,0.7387340814494018
more pronounced,descriptor,51,more pronounced encephalomalacia along the anterior right temporal lobe appears stable .,change,increase,increase,increase,0.7377065740886802
more prominent,descriptor,259,"more prominent cerebellar infarcts are noted bilaterally , somewhat more prominent on the left .",change,increase,increase,increased,0.7374013366081059
effacing,descriptor,12,"persistent hemorrhage in the left temporal region measuring 2 . 6 x 1 . 4 x 2 . 7 cm , which may be within a dilated left temporal horn or parenchymal and effacing the left temporal horn ( series 2 , image 9 ) .",composition,fluid,simple_fluid,fluid-like,0.7373439641455015
centrally,descriptor,53,questionable low-density lesion centrally within the area of encephalomalacia measuring up to 1 . 8 cm .,distribution,localized,localized,focal,0.7364786390409181
air-fluid levels,descriptor,28,minimal mucosal thickening with air-fluid levels in the frontal sinus cavities .,composition,mixed,mixed,mixed,0.7358429799814473
stable in size,descriptor,26,the ventricles are normal in stable in size .,change,stable,stable,stable,0.7353408417311026
dilatation,descriptor,26,"brain : generalized parenchymal atrophy with commensurate dilatation of the ventricles and sulci , stable .",caliber,dilated,dilated,dilated,0.7352442384669865
normally aligned,descriptor,20,visible bilateral ossicles appear normally aligned .,position,normal_position,normal_position,normal_position,0.7345878676374618
progressed,descriptor,610,there is moderate for age generalized brain atrophy which has progressed from 8964 .,change,worsening,worsening,worsening,0.7343513567711154
partially effaced,descriptor,30,brain : 2 . 6 x 2 . 2 cm left thalamus hematoma relatively unchanged with surrounding low-density vasogenic edema and partially effaced third ventricle with mild hydrocephalus .,composition,fluid,simple_fluid,fluid-like,0.7340492959134819
non-suspicious,descriptor,1306,the included ocular globes and orbital contents are non-suspicious .,malignancy_status,probably_benign,probably_benign,probably_benign,0.7335759225810974
fat density,descriptor,13,there is a left frontal fat density mass consistent with a subgaleal lipoma .,composition,solid,fatty,fatty,0.7335749083824018
more apparent,descriptor,36,a focus of hypoattenuation in the superior aspect of the left thalamus is more apparent on today's study .,change,appearance,appearance,appearance,0.7334167648837534
posterior,descriptor,282,sinuses / orbits : posterior right ethmoid sinus mucosal thickening .,direction,posterior_to_anterior,posterior-to-anterior,posterior-to-anterior,0.7327360950836199
extensive,descriptor,4303,"extensive vasogenic edema is again noted within the right parietal and occipital lobes , compatible with the patient's known metastatic disease; this is less prominent than on the prior study .",quantity,qualitative,multiple,multiple,0.7325407150726652
